eventid	latitude	longitude
5692689	29.77	-93.68
5686947	41.07	-93.52
5691013	38.88	-85.42
5683996	27.33	-82.57
5681861	33	-92.22
5703912	40.73	-111.87
5686494	32.05	-83.97
5684445	31.3	-92.47
5679368	34.17	-87.47
5679351	26.75	-81.43
5686925	39.83	-96.15
5696643	36.45	-91.52
5687297	34.88	-77.53
5694997	36.55	-97.42
5686951	41.52	-93.33
5679030	33.83	-87.67
5682134	27.98	-82.12
5686932	40.88	-94.88
5686934	41.25	-94.72
5686939	41.03	-94.32
5686873	41.88	-93.68
5687904	29.58	-99.67
5686052	37.18	-88.78
5679250	26.77	-80.05
5692686	29.93	-91.7
5681687	32.38	-93.8
5680321	37.1	-88.85
5680320	37	-89
5698324	40.32	-99.92
5695389	39.38	-88.25
5696417	32.4	-82.18
5698386	40.1	-91.92
5698521	38.95	-89.68
5696744	35.57	-87.92
5695283	39.87	-90.03
5695385	40.07	-88.73
5689864	41.13	-98.55
5695894	35.28	-93.13
5683994	27.88	-82.37
5705189	34.98	-98.07
5707171	40.53	-84.38
5707524	27.4	-81.57
5705860	35.93	-97.95
5705853	35.65	-96.8
5705627	35.37	-97
5705284	35.13	-97.85
5705285	35.25	-97.67
5705286	35.3	-97.6
5705287	35.4	-97.45
5705410	36.12	-97.33
5705620	35.9	-97.6
5705698	35.07	-97.98
5705588	41.6	-99.17
5705858	35.77	-98.15
5705186	34.88	-98.32
5705409	35.88	-97.68
5724071	43.92	-123.02
5718649	40.52	-86.83
5715172	27.9	-82.78
5717465	36.57	-80.48
5705290	35.47	-97.3
5705411	36.18	-97.28
5132160	31.3	-83.63
5132346	37.72	-87.18
5129729	34.37	-89.25
5129728	34.18	-89.52
5132599	43.28	-112.18
5132159	31.32	-83.63
5132572	31.08	-84.02
5133317	37.27	-88.08
5132156	31.17	-84.27
5132157	31.02	-84.2
5133530	31.05	-84.38
5134037	34.58	-92.65
5133907	36.15	-86.87
5136038	29.47	-101.02
5136982	30.65	-98.78
5131794	26.43	-81.63
5137799	32.88	-87.1
5135016	32.07	-86.3
5136671	30.42	-96.68
5135019	32.23	-85.88
5135021	32.18	-86
5137546	37.25	-95.55
5137316	33.3	-87.48
5136054	29.62	-97.97
5135918	42.95	-87.9
5139232	33.32	-87.33
5138948	33.15	-84.25
5135302	34.88	-91.98
5137794	32.77	-87.33
5135620	30.6	-97.85
5137545	37.48	-95.33
5137308	32.23	-86.23
5137309	32.25	-86.12
5137406	32.75	-97.35
5137800	32.77	-87.08
5137673	31.57	-101.58
5138718	37.03	-100.93
5138931	33.97	-85.38
5139380	29.57	-90.53
5139233	33.37	-87.23
5138736	37.07	-99.35
5139372	35.53	-86.4
5140563	29.93	-93.37
5141788	37.35	-95.05
5139967	34.03	-94.98
5139332	37.78	-85.12
5142177	45.87	-122.82
5141915	30.08	-93.2
5141922	30.45	-92.17
5146454	35.73	-87.42
5142066	29.6	-90.72
5142909	41.67	-93.53
5140071	32.3	-92.45
5140398	32.93	-86.75
5140399	33.48	-87.12
5140454	33.77	-87.63
5139988	32.43	-94.05
5140293	33.1	-87.7
5139656	32.32	-93.55
5147020	42.15	-91.62
5141910	29.78	-94.23
5146784	31.9	-97.37
5128185	32.3	-86.33
5139809	35.13	-77.02
5139986	32.48	-93.85
5141875	33.9	-85.55
5141877	33.58	-86.85
5142113	33.33	-95.57
5141035	34.87	-95.53
5147149	36.03	-84.03
5145458	42.52	-92.45
5145460	42.57	-92.23
5145461	42.57	-92.17
5147903	41.1	-92.52
5151844	44.05	-90.88
5148873	40.78	-89.37
5147640	42.08	-93.25
5151471	37.53	-86.3
5151941	43.4	-88.63
5151845	43.92	-90.17
5151441	38.47	-90.15
5157737	31.17	-94.83
5157816	41.37	-97.87
5149283	40.42	-88.9
5157964	26.9	-82.1
5157965	27	-81.97
5157819	40.85	-99.85
5158354	27.3	-81.37
5153908	26.72	-82.27
5153304	42.63	-100.17
5159401	32.43	-85.9
5153401	42.5	-100.15
5160992	30.9	-92.22
5158877	31.6	-83.33
5160527	29.8	-95.75
5161333	30.75	-98.22
5161390	31.87	-85.93
5143985	40.95	-100.37
5143965	29.42	-98.5
5144002	41.02	-85.8
5144062	42.35	-85.87
5143961	29.33	-98.13
5144194	38.03	-7.83
5144003	41.03	-85.78
5174850	29.42	-98.63
5174597	40.4	-82.48
5174197	33.07	-8.12
5174934	41.25	-82.7
5175658	46.85	-99.17
5144257	35.88	-90.28
5172600	34.3	-83.58
5144089	41.3	-85.12
5144772	36.55	-88.32
5145121	40.85	-101.15
5145292	29.37	-98.8
5145190	38.75	-76.7
5145379	41	-85.87
5145291	29.32	-98.82
5154642	39.28	-89.12
5155276	36.65	-76.03
5155793	37.32	-83.97
5154802	40.67	-102.7
5157193	28.1	-82.78
5159893	34.07	-85.78
5160033	46.88	-100.77
5159938	37.85	-85.07
5160309	29.85	-97.67
5160310	29.93	-97.3
5160296	34.73	-87.18
5160297	34.85	-87.05
5160675	29.38	-97.23
5157537	41.3	-97.9
5157536	41.22	-97.87
5160567	30.5	-88.23
5175676	41.53	-99
5176358	40.72	-100.2
5175230	39.65	-83.98
5175229	40.13	-82.83
5174266	33.07	-8.12
5174676	41.3	-82.62
5174673	26.77	-82.25
5174525	42.83	-94.7
5174526	42.87	-94.58
5175754	43.82	-90.58
5162865	46.37	-94.82
5166972	33.78	-86.32
5166973	34.05	-85.93
5163613	28.03	-81.95
5163929	28.05	-82.6
5167446	33.32	-81.97
5164981	41.28	-73.93
5163931	27.9	-81.98
5165209	46.4	-95.02
5166971	33.05	-87.7
5167810	31.02	-85.9
5161925	32.87	-87.68
5163249	44.9	-95.67
5171228	30.48	-89.92
5171313	40.87	-82.3
5165021	27.28	-82.1
5178479	40.67	-111.82
5178380	32.4	-88.67
5276088	36.25	-88.25
5275985	34.85	-89.83
5230760	33.62	-84.37
5231098	32.37	-86.27
5232803	34.12	-91.03
5232920	34.07	-89.23
5235560	34.48	-96.17
5236229	38.48	-98.78
5233457	36.25	-91.97
5233459	33.63	-91.63
5233234	34.6	-92.35
5235588	31.4	-86.62
5238095	30.83	-84.42
5238096	30.85	-84.37
5238004	31.08	-84.7
5238908	41.13	-94.73
5241431	37.1	-101.65
5238398	28.33	-82.23
5236850	32.38	-86.3
5238186	30.6	-85.55
5238188	28.35	-82.7
5238479	42.97	-91.85
5236393	34.17	-96.6
5234092	34.78	-86.77
5232988	34.52	-88.6
5233334	34.77	-91.95
5232869	33.02	-89.97
5243786	42.47	-91.88
5239382	39.15	-99.4
5239383	39.22	-99.3
5243006	41.07	-85.13
5243225	38.72	-90.13
5242482	39.72	-99.27
5243399	42.63	-102.2
5244340	36.13	-101.2
5243127	38.85	-91.95
5242108	29.22	-81.03
5240878	41.5	-96.33
5242583	39.6	-98.88
5237295	40.97	-92.38
5238135	31.3	-89.62
5238136	31.32	-89.32
5238289	28.95	-82.57
5239638	40.25	-96.5
5239785	37.02	-94.52
5238391	28.88	-82.38
5239379	40.15	-98.22
